Abalistes filamentosus	605, 606
Pampus argenteus	580, 581
Pampus candidus	580
Pampus chinensis	581
Pampus spp.	6
Pangasius cf. pangasius	305
Panna heterolepis	494
Panulirus	55
Panulirus homarus	55, 59
Panulirus longipes	60
Panulirus ornatus	55, 60, 62
Panulirus penicillatus	61
Panulirus polyphagus	55, 61
Panulirus versicolor	55, 62
Parabathymyrus sp.	284
Paracaesio xanthura	455
Parachaeturichthys polynema	549
Paragaleus longicaudatus	173
Paramaja gibba	76
Parambassis cf. rang	243
Paramonacanthus pusillus	613
Paramonacanthus tricuspis	613
Paranibea cf. semiluctuosa	495
Paranibea semiluctuosa	8
Parapenaeopsis	24, 25
Parapenaeopsis (Alcockpenaeopsis) hungerfordii	37
Parapenaeopsis (Batepenaeopsis) tenella	37
Parapenaeopsis (Ganjampenaeopsis) uncta	38
Parapenaeopsis (Kishinouyepenaeopsis) cornuta	38
Parapenaeopsis (Mierspenaeopsis) hardwickii	39
Parapenaeopsis (Mierspenaeopsis) sculptilis	40
Parapenaeopsis (Parapenaeopsis) coromandelica	40
Parapenaeopsis (Parapenaeopsis) stylifera	40
Parapenaeus longipes	41
Parapeneopsis (Kishinouyepenaeopsis) maxillipedo	39
Parapercis alboguttata	539
Parapercis bimacula	539
Parapercis caudopellucida	539
Parapercis clathrata	539
Parapercis filamentosa	540
Parapercis hexophtalma	540
Parapercis millepunctata	540
Parapercis ommatura	541
Parapercis rubricaudalis	541
Parapercis snyderi	541
Parapercis sp. 1	542
Parapercis sp. 2	543
Parapercis sp. 3	543
Parapercis striolata	543
Parapercis tetracantha	542
Parapercis xanthozona	542
Paraplagusia bilineata	601
Paraplagusia bleekeri	601
Parapriacanthus sp.	507
Parapterois heterura	359
Parascolopsis	251
Parascolopsis aspinosa	483
Parascolopsis aff. qantasi	484
Parascolopsis eriomma	483
Parascolopsis inermis	483
Parascolopsis quantasi	484
Parascolopsis sp.	484
Parascombrops glossodon	380, 381
Parascombrops sp.	381
Parascorpaena	359
Parascorpaena picta	359
Parastromateus niger	429
Paratrypauchen microcephalus	550
Pardachirus pavoninus	597
Parexocoetus brachypterus	346
Parexocoetus mento	346
Parupeneus spp.	501
Parupeneus barberinus	501
Parupeneus chrysopleuron	502
Parupeneus cyclostomus	502
Parupeneus heptacanthus	502, 503
Parupeneus indicus	503
Parupeneus jansenii	503
Parupeneus macronemus	503
Parupeneus pleurostigma	504
Parupeneus trifasciatus	504
Pasiphaea unispinosa	50
Pastinachus ater	208
Pateobatis bleekeri	208
Pateobatis fai	208
Pateobatis jenkinsii	209
Pegasus volitans	355
Pegophysema philippiana	97
Pelates quadrilineatus	400
Pellona ditchela	304
Pempheris flavicycla	507, 508
Pempheris malabarica	508
Pempheris vanicolensis	508
Penaeus	24, 25
Penaeus (Fenneropenaeus) indicus	41
Penaeus (Fenneropenaeus) merguiensis	42
Penaeus (Fenneropenaeus) penicillatus	42
Penaeus (Marsupenaeus) japonicus	43
Penaeus (Marsupenaeus) pulchricaudatus	8, 43
Penaeus (Melicertus) canaliculatus	43
Penaeus (Melicertus) latisulcatus	44
Penaeus (Melicertus) longistylus	44
Penaeus (Penaeus) monodon	45
Penaeus (Penaeus) semisulcatus	45
Penaeus semisulcatus	4
Pennahia anea	495
Pennahia ovata	495
Pentaprion longimanus	465
Peristedion	242, 370
Peristedion liorhynchus	370
Perna viridis	92
Perulibatrachus cf. aquilonarius	328
Photolateralis stercorarius	441
Photonectes sp.	228
Photopectoralis aureus	442
Photopectoralis bindus	442
Physalia	579
Physiculus	9
Physiculus roseus	322
Pinctada	87
Pinctada margaritifera	92
Pinctada maxima	5, 93
Pinctada radiata	93
Pinjalo	250
Pinjalo lewisi	455
Pinjalo pinjalo	456
Pirenella cingulata	109
Pisodonophis boro	278
Pisodonophis cancrivorus	278
Platax	260
Platax orbicularis	552
Platax teira	553
Platybelone argalus	335
Platycéphale indien	375
Platycephalus	375
Platycephalus indicus	375
Platyrhina psomadakisi	197
Plectorhinchus albovittatus	467
Plectorhinchus ceylonensis	467
Plectorhinchus chaetodonoides	467
Plectorhinchus flavomaculatus	468
Plectorhinchus gibbosus	468
Plectorhinchus lineatus	468
Plectorhinchus macrospilus	469
Plectorhinchus picus	469
Plectorhinchus spp.	467
Plectorhinchus unicolor	469
Plectorhinchus vittatus	470
Plectranchias sp. 1	395
Plectranchias sp. 2	396
Plectrogenium nanum	367
Plectropomus	7
Plectropomus pessuliferus	396
Pleistacantha pungens	76
Plesiobatis daviesi	211
Plesionika quasigrandis	54
Plesionika semilaevis	28
Plesiops auritus	245
Plicofollis dussumieri	310
Plicofollis platystomus	311
Plotosus canius	305
Plotosus lineatus	305
Plotosus spp.	305
Podophthalmus vigil	80
Poecilopsetta colorata	593
Pogonoperca punctata	8
Polydactylus microstoma	498, 499
Polydactylus plebeius	498
Polydactylus sexfilis	499
Polydactylus sextarius	499
Polydactylus siamensis	499
Polyipnus indicus	228
Polymetme corythaeola	228
Polymixia fusca	320
Polynemus melanochir	500
Polynemus paradiseus	500
Pomacanthus annularis	514
Pomacanthus imperator	514
Pomadasys	251
Pomadasys andamanensis	470
Pomadasys argenteus	470
Pomadasys argyreus	471
Pomadasys furcatu	471
Pomadasys guoraca	8
Pomadasys kaakan	471
Pomadasys maculatus	472
Pomadasys olivaceus	472
Pomadasys spp.	470
Pomadasys trifasciatus	472
Pomadasys unimaculatus	473
Pomatomus saltatrix	414
Portunus	6
Portunus pelagicus	81, 82
Portunus reticulatus	82
Portunus sanguinolentus	81
Priacanthus blochii	401
Priacanthus hamrur	402
Priacanthus macracanthus	402
Priacanthus prolixus	402
Priacanthus sagittarius	403
Priacanthus tayenus	403
Prionace glauca	180
Pristiapogon fraenatus	410
Pristigenys refulgens	403
Pristipomoides auricilla	456
Pristipomoides filamentosus	456
Pristipomoides multidens	457
Pristipomoides sieboldii	457
Pristipomoides typus	457
Pristipomoides zonatus	458
Pristis clavata	193
Pristis pristis	193
Pristis zijsron	194
Pristotis obtusirostris	522
Prognichthys brevipinnis	346
Proscyllium magnificum	170
Protonibea diacantha	496
Psammoperca waigiensis	379
Psenes arafurensis	579
Psenes cyanophrys	579
Psenes pellucidus	580
Psenopsis cyanea	577
Psenopsis obscura	577
Psettina profunda	591, 592
Psettina variegata	592
Psettodes erumei	582
Pseudanthias emma	396
Pseudanthias gibbosus	397
Pseudanthias pillai	397
Pseudanthias rubrizonatus	397
Pseudapocryptes elongatus	550
Pseudobalistes flavimarginatus	608
Pseudobalistes fuscus	608
Pseudochromis andamanensis	245
Pseudochromis caudalis	245
Pseudorhombus argus	583
Pseudorhombus arsius	583
Pseudorhombus cinnamoneus	584
Pseudorhombus dupliciocellatus	584
Pseudorhombus elevatus	584
Pseudorhombus javanicus	585
Pseudorhombus malayanus	585
Pseudorhombus megalops	585
Pseudorhombus natalensis	586
Pseudorhombus neglectus	586
Pseudorhombus quinquocellatus	586
Pseudorhombus triocellatus	587
Pseudotriacanthus strigilifer	604
Ptereleotris	259
Ptereleotris microlepis	259
Pteria	87
Pteria penguin	94
Pterocaesio chrysozona	460
Pterocaesio marri	461
Pterocaesio pisang	461
Pterocaesio randalli	461
Pterocaesio spp.	460
Pterocaesio tessellata	462
Pterocaesio tile	462
Pterois antennata	360
Pterois miles	360
Pterois russelii	360
Pteroplatytrygon violacea	209
Pteropsaron indicum	537
Pterotolithus maculatus	496
Pterygotrigla	242, 369, 370
Pterygotrigla cf. arabica	369, 370
Pterygotrigla hemisticta	370
Pterygotrigla macrorhynchus	370
Puelurus sewelli	55, 62
Pycnocraspedum cf. squamipinne	326
Pycnocraspedum squamipinne	326
Pyramodon ventralis	327
Rachycentron canadum	414
Raconda russeliana	304
Rajella sp.	202
Ranina ranina	6, 70
Ranzania laevis	629
Rastrelliger brachysoma	571
Rastrelliger faughni	572
Rastrelliger kanagurta	572
Rastrellinger brachysoma	572
Rastrellinger kanagurta	6
Remora remora	415
Rexea bengalensis	567
Rhabdamia gracilis	246
Rhabdamia gracilis	8
Rhabdosargus sarba	474
Rhina ancylostoma	194
Rhincodon typus	7, 157, 167
Rhinecanthus rectangulus	609
Rhinobatos annandalei	195
Rhinobatos lionotus	195
Rhinobatos ranongensis	196
Rhinomugil corsula	8
Rhinoptera javanica	213, 214
Rhinoptera jayakari	214
Rhizophora	2
Rhizoprionodon acutus	180
Rhizoprionodon oligolinx	181
Rhynchobatus	186
Rhynchobatus australiae	194
Rhynchobatus laevis	195
Rhynchoconger squaliceps	285
Rhynchorhamphus georgii	340
Roa jayakari	513
Rochia nilotica	107
Rogadius melanopterus	376
Rogadius pristiger	376
Rogadius serratus	376
Rogadius tuberculatus	377
Ruvettus pretiosus	262, 567
Saccostrea cuccullata	96
Sacura sanguinea	398
Samaris cristatus	267, 593, 594
Samariscus huysmani	594
Samariscus maculatus	594
Samaris macrolepis	594
Sarda orientalis	572
Sardinella albella	291
Sardinella brachysoma	291
Sardinella daniva	288
Sardinella fimbriata	292
Sardinella gibbosa	292
Sardinella lemuru	292
Sardinella melanura	293
Sardinella spp.	293
Sargocentron caudimaculatum	353
Sargocentron diadema	353
Sargocentron melanospilos	353
Sargocentron praslin	354
Sargocentron spiniferum	354
Sargocentron spp.	353
Satyrichthys laticeps	371
Satyrichthys milleri	371
Saurenchelys sp.	281
Saurida lessepsianus	313
Saurida longimanus	314
Saurida micropectoralis	314
Saurida spp.	313
Saurida tumbil	314
Saurida undosquamis	314
Sauromuraenesox vorax	280
Scalicus investigatoris	371, 372
Scalicus orientalis	372
Scalicus serrulatus	372
Scarus caudofasciatus	530
Scarus frenatus	530
Scarus ghobban	530
Scarus maculipinna	531
Scarus niger	531
Scarus quoyi	531
Scarus rubroviolaceus	532
Scarus russelii	532
Scarus viridifucatus	532
Scatophagus argus	553
Scoliodon cf. laticaudus	181
Scoliodon laticaudus	8
Scolopsis	251
Scolopsis affinis	484
Scolopsis bilineata	485
Scolopsis ciliata	485
Scolopsis margaritifera	485
Scolopsis monogramma	486
Scolopsis sp. B	486
Scolopsis taenioptera	486
Scolopsis vosmeri	486, 487
Scolopsis xenochrous	487
Scomber	263
Scomberoides	248
Scomberoides commersonnianus	429
Scomberoides lysan	430
Scomberoides tala	430
Scomberoides tol	430
Scomberomorus	263, 573
Scomberomorus commerson	573, 574
Scomberomorus guttatus	573
Scomberomorus guttatus	573, 574
Scomberomorus koreanus	573
Scomberomorus lineolatus	574
Scombrolabrax heterolepis	563
Scorpaenopsis neglecta	361
Scorpaenopsis obtusa	361
Scorpaenopsis oxycephala	361
Scorpaenopsis possi	362
Scorpaenopsis ramaraoi	362
Scylla olivacea	65, 82
Scylla serrata	65, 82, 83
Scylla spp.	4, 5, 83
Scylla tranquebarica	83
Selar boop	431
Selar crumenophthalmus	431
Selaroides leptolepis	431
Sepia aculeata	120
Sepia brevimana	121
Sepiadarium kochii	126
Sépia inerme	125
Sepia kobiensis	121
Sepia latimanus	122
Sepia lycidas	122
Sepia pharaonis	123
Sepia prashadi	123
Sepia recurvirostra	124
Sepia stellifera	124
Sepiella inermis	125
Sepioteuthis lessoniana	127
Seriolina nigrofasciata	432
Setarches guentheri	357
Setarches longimanus	357
Setipinna	296
Setipinna breviceps	296
Setipinna taty	296
Setipinna tenuifilis	297
Setipinna wheeleri	297
Sicyonia parajaponica	46
Siganus argenteus	553
Siganus canaliculatus	554
Siganus corallinus	554
Siganus fuscescens	554
Siganus guttatus	555
Siganus javus	555
Siganus puelloides	555
Siganus spinus	556
Siganus spp.	553
Siganus stellatus	556
Siganus sutor	556
Siganus vermiculatus	557
Siganus virgatus	557
Sigmops elongatus	228
Sillaginopodys chondropus	411
Sillaginopsis domina	411
Sillago aeolus	412
Sillago ingenuua	412
Sillago sihama	412
Sinobatis andamanensis	203
Siphamia tubifer	8, 246
Sirembo jerdoni	327
Snyderina guentheri	364
Solenocera choprai	47
Solenocera crassicornis	48
Solenocera halli	48
Sonneratia	2
Sphagemacrurus richardi	322
Sphoeroides pachygaster	624
Sphyraena barracuda	564
Sphyraena forsteri	564
Sphyraena jello	564, 566
Sphyraena obtusata	565
Sphyraena pinguis	565
Sphyraena putnamae	565, 566
Sphyraena qenie	566
Sphyrna lewini	182
Sphyrna mokarran	182
Sphyrna zygaena	183
Spottobrotula mahodadi	327
Spratelloides	225
Spratelloides delicatulus	293
Spratelloides gracilis	293
Squilloides leptosquilla	22
Stegostoma fasciatum	166
Stegostoma tigrinum	166
Stemonosudis rothschildi	230
Sthenoteuthis oualaniensis	135
Stichopus chloronotus	152
Stichopus herrmanni	152
Stichopus horrens	153
Stichopus variegatus	152
Stolephorus andhraensis	297
Stolephorus baganensis	297
Stolephorus baweanensis	8
Stolephorus commersonnii	298
Stolephorus indicus	298
Stolephorus insularis	298
Stolephorus waitei	299
Strongylura leiura	335
Strongylura strongylura	336
Strophidon sathete	275
Sudis hyalina	230
Sufflamen bursa	609
Sufflamen chrysopterum	609
Suggrundus macracanthus	377
Sunagocia carbunculus	377
Sunagocia otaitensis	378
Symbolophorus evermanni	319
Symphysanodon cf. katayamai	398
Symphysanodon cf. maunaloae	399
Symphysanodon cf. xanthopterygion	399
Synagrops aff. japonicus	381
Synaphobranchus affinis	272
Synchiropus cf. altivelis	545
Synodus cf. randalli	316
Synodus dermatogenys	314
Synodus hoshinonis	315
Synodus indicus	315
Synodus jaculum	315
Synodus macrops	316
Synodus randalli	8
Synodus spp.	314
Synodus variegatus	316
Syringodium isotoefolium	3, 4
Taeniamia fucata	410
Taenioides nigrimarginatus	550
Taeniura lymma	209
Taeniurops meyeni	210
Takifugu oblongus	624
Talismania	227
Talparia talpa	114
Taningia danae	134
Taractichthys steindachneri	443
Tectus pyramis	107
Tegillarca granosa	91
Tegillarca nodifera	91
Telatrygon crozieri	210
Temera cf. hardwickii	201
Tentoriceps cristatus	568
Tenualosa ilisha	6, 293
Tenualosa toli	294
Terapon jarbua	400
Terapon theraps	401
Tetrapturus	264
Tetrapturus angustirostris	577
Tetronarce aff. formosa	201
Tetrosomus concatenatus	616
Tetrosomus gibbosus	616
Thalassia hemprichii	4
Thalassina	2
Thalassoma	256
Thalassoma lunare	527
Thamnaconus multilineatus	613
Thelenota ananas	153
Thenus	6, 55
Thenus cf. parindicus	64
Thenus indicus	55, 63, 64
Thenus orientalis	63
Thenus parindicus	64
Thryssa	299–302
Thryssa baelama	299
Thryssa dussumieri	299
Thryssa hamiltonii	300
Thryssa kammalensis	300
Thryssa mystax	300
Thryssa setirostris	301
Thryssa spinidens	301
Thryssa stenosoma	301
Thryssa vitrirostris	302
Thryssina	299–302
Thunnus	263, 574
Thunnus albacares	574, 575
Thunnus obesus	574
Thunnus tonggol	575
Thysanophrys celebica	378
Thysanophrys chiltonae	378
Torquigener brevipinnis	625
Torquigener brevipinnis	624
Torquigener florealis	625
Tosarhombus longimanus	592
Tosarhombus nielseni	592
Trachinocephalus myops	317
Trachinocephalus trachinus	317
Trachinotus	248
Trachinotus africanus	432
Trachinotus baillonii	433
Trachinotus blochii	433
Trachinotus botla	433
Trachinotus spp.	432
Trachipterus cf. trachypterus	319
Trachysalambria aspera	46
Triacanthodes ethiops	603
Triacanthus biaculeatus	604
Triacanthus nieuhofii	604
Triaenodon	159
Triaenodon obesus	181
Trichiurus lepturus	6, 569
Trichonotus cf. setiger	537
Trichonotus setiger	8
Tridacna	87
Tridacna gigas	98
Tridacna maxima	99
Tridacna squamosa	99
Triplophos hemingi	228
Tripodichthys oxycephalus	605
Tripterodon	260
Trixiphichthys weberi	605
Trypauchen pelaeos	551
Trypauchen vagina	551
Turbo argyrostomus	108
Turbo marmoratus	108
Tydemania navigatoris	603
Tylerius spinosissimus	625
Tylosurus acus	336
Tylosurus acus melanotus	336
Tylosurus crocodilus	336
Tylosurus crocodilus crocodilus	336
Ulua mentalis	434
Ulva	2
Upeneus spp.	504
Upeneus guttatus	504
Upeneus margarethae	505
Upeneus moluccensis	505
Upeneus sulphureus	505
Upeneus sundaicus	506
Upeneus supravittatus	506
Upeneus tragula	506
Upeneus vittatus	507
Uranoscopus affinis	535
Uranoscopus cognatus	535
Uranoscopus kaianus	535
Uranoscopus oligolepis	536
Uraspis helvola	434
Uraspis uraspis	434
Uroconger cf. lepturus	285
Urogymnus asperrimus	210
Urogymnus granulatus	211
Urogymnus polylepis	211
Uropterygius xanthopterus	275
Uroteuthis (Photololigo) chinensis	128
Uroteuthis (Photololigo) duvaucelii	128
Uroteuthis (Photololigo) edulis	129
Uroteuthis (Photololigo) machelae	8, 129
Uroteuthis (Photololigo) sibogae	130
Uroteuthis (Photololigo) singhalensis	130
Valamugil buchanani	519
Varuna litterata	86
Varuna yui	86
Volegalea cochlidium	117
Wattsia mossambica	479
Xenentodon cf. cancila	337
Xenocephalus australiensis	536
Xenomystax trucidans	285
Xiphasia setifer	258, 543
Xiphias gladius	575
Xiphocheilus typus	528
Xiphonectes hastatoides	84
Xylocarpus	2
Xyrias revulsus	279
Yongeichthys nebulosus	551
Zameus squamulosus	163
Zanclus cornutus	557
Zebrasoma	261
Zebrasoma desjardinii	562
Zebrasoma scopas	563
Zebrias altipinnis	597
Zebrias quagga	597
Zebrias synapturoides	598
Zenopsis nebulosa	355
